,ID,name,long,lat,location
226,C0V620,永安 (Yong'an),120.2368,22.8231,高雄市永安區永安路32號(永安消防分隊)
227,C0V630,茄萣 (Qieding),120.1826,22.9066,高雄市茄萣區濱海路四段27號(茄萣區公所)
228,C0V640,湖內 (Hunei),120.2445,22.8871,高雄市湖內區中山路一段290之1號(湖街派出所)
229,C0V650,彌陀 (Mituo),120.2463,22.7838,高雄市彌陀區中正北路7號(彌陀消防分隊)
230,C0V660,岡山 (Gangshan),120.2949,22.7970,高雄市岡山區岡山路341號(岡山地政事務所)
231,C0V680,仁武 (Renwu),120.3477,22.7010,高雄市仁武區中正路133號(仁武區公所)
232,C0V690,鼓山 (Gushan),120.2755,22.6233,高雄市鼓山區臨海一路61-1號(鼓山消防分隊)
233,C0V700,三民 (Sanmin),120.3112,22.6450,高雄市三民區十全一路88號(十全消防分隊)
234,C0V710,苓雅 (LingYa),120.3306,22.6227,高雄市苓雅區三多一路162號(苓雅消防分隊)
235,C0V720,林園 (Linyuan),120.3945,22.5077,高雄市苓雅區三多一路162號(苓雅消防分隊)
236,C0V730,大寮 (Daliao),120.3957,22.6056,高雄市大寮區鳳林三路492號(大寮區公所)
237,C0V740,旗山 (Qishan),120.4835,22.8886,高雄市大寮區鳳林三路492號(大寮區公所)
238,C0V750,路竹 (Luzhu),120.2594,22.8549,高雄市路竹區國昌路76號(路竹區公所)
239,C0V760,橋頭 (Qiaotou),120.3057,22.7578,高雄市路竹區國昌路76號(路竹區公所)
240,C0V770,大社 (Dashe),120.3466,22.7303,高雄市大社區自強街1號(大社區公所)
241,C0V790,萬山 (Wanshan),120.6880,22.9059,高雄市茂林區萬山段710地號
242,C0V800,六龜 (Liugui),120.6880,22.9978,高雄市茂林區萬山段710地號
243,C0V810,左營 (Zuoying),120.2849,22.6749,高雄市左營區左營大路1號(高雄市立海青高級工商職業學校資訊大樓樓頂)
244,C0V820,小林 (Xiaolin),120.6332,23.1484,高雄市甲仙區五里路24-2號（小林國小）
245,C0V440,鳳山 (Fengshan),120.3561,22.6466,高雄市鳳山區文山路園藝巷4號（鳳山熱帶園藝試驗分所）
246,C0V450,鳳森 (Fengsen),120.3925,22.5450,高雄市小港區水庫段96-1地號（鳳山給水廠內）
247,C0V490,新興 (Sinsing),120.2988,22.6274,高雄市新興區大同一路231號(大同國小內5樓頂)
