,ID,name,long,lat
340,C1D420,太閣南 (Taigenan),121.0799,24.5793
341,C1D630,飛鳳山 (Fei Feng Mountain),121.1605,24.6328
342,C1D640,外坪(五指山) (Waiping(Wuzhihshan)),121.1191,24.7664
343,C1D370,湖口 (Hukou) (撤銷站),121.0909,24.6444
344,C1D430,峨眉 (Emei) (撤銷站),121.0440,24.9093
345,C0D370,湖口 (Hukou) (撤銷站),121.0170,24.6904
346,C0E420,竹南 (Jhunan),120.8888,24.7089
347,C0E430,南庄 (Nanzhuang),120.8888,24.7089
348,C0E520,大湖 (Dahu),121.0002,24.6017
349,C0E540,後龍 (Houlong),120.8708,24.4149
350,C0E550,明德 (Mingde),120.7839,24.6064
351,C0E590,通霄 (Tongxiao),120.8854,24.5834
352,C0E610,馬都安 (Madu-an),120.7046,24.4718
353,C0E730,頭份 (Toufen),120.9301,24.4512
354,C0E740,造橋 (Zaoqiao),120.9122,24.6882
355,C0E750,苗栗 (Miaoli),120.8647,24.6370
356,C0E791,卓蘭 (Zhuolan),120.8647,24.6370
357,C0E810,西湖 (Xihu),120.8244,24.3126
358,C0E820,獅潭 (Shitan),120.7485,24.5629
359,C0E830,苑裡 (YUANLI),120.9200,24.5391
360,C0E850,大河 (Dahe),120.6530,24.4397
361,C0E870,高鐵苗栗 (THSR Miaoli),120.9485,24.6180
362,C0E880,三義 (Sanyi),120.8260,24.6072
363,C0E910,海埔 (HAIPU),120.7498,24.4054
364,C0E920,通霄漁港 (TONGSIAO FISHING),120.7724,24.6487
365,C0E930,龍鳳 (LONGFONG),120.6738,24.4985
366,C0E780,銅鑼 (Tongluo),120.8591,24.7000
367,C1E461,松安 (Song-an),120.7908,24.4896
368,C1E480,鳳美 (Fongmei),120.9860,24.3979
369,C1E511,新開 (Xinkai),121.0347,24.5548
370,C1E451,象鼻 (Xiangbi),120.8270,24.3477
371,C1E601,南勢 (Nanshi),120.9402,24.3686
372,C1E670,南礦 (Nankuang),120.7348,24.5724
373,C1E681,南勢山 (Nanshishan),121.0028,24.5382
374,C1E691,南湖 (Nanhu),120.9238,24.4216
375,C1E701,八卦 (Bagua),120.8375,24.4013
376,C1E711,馬拉邦山 (Malabangshan),120.9276,24.4917
377,C1E721,泰安 (Tai-an),120.9016,24.3673
378,C1E770,公館 (Gongguan),120.9680,24.4890
379,C1E890,國三N149K (Freeway No. 1 N149K),120.8308,24.5269
380,C1E900,國一N128K (Freeway No. 1 - RAIN – N128K),120.6800,24.4634
381,C1E720,泰安 (Tai-an) (撤銷站),120.8441,24.5609
382,C1E710,馬拉邦山 (Malabangshan) (撤銷站),120.9676,24.4887
383,C1E700,八卦 (Bagua) (撤銷站),120.9015,24.3674
384,C1E690,南湖 (Nanhu) (撤銷站),120.9276,24.4918
385,C1E680,南勢山 (Nanshishan) (撤銷站),120.8376,24.4010
386,C1E460,松安 (Song-an) (撤銷站),120.9237,24.4218
387,C1E520,大湖 (Dahu) (撤銷站),120.9859,24.3976
388,C1E540,後龍 (Houlong) (撤銷站),120.8745,24.4171
389,C1E550,明德 (Mingde) (撤銷站),120.7837,24.6062
390,C1E560,和興 (Hesing) (撤銷站),120.8867,24.5846
391,C1E570,公館 (Gongguan) (撤銷站),120.9151,24.5140
392,C1E590,土城 (Tucheng) (撤銷站),120.8290,24.4957
